city,value
Adana,3546
Adıyaman,504
Afyonkarahisar,961
Ağrı,116
Amasya,377
Ankara,9998
Antalya,4870
Artvin,148
Aydın,2087
Balıkesir,2042
Bilecik,272
Bingöl,156
Bitlis,55
Bolu,347
Burdur,424
Bursa,3679
Çanakkale,745
Çankırı,191
Çorum,797
Denizli,2155
Diyarbakır,632
Edirne,702
Elazığ,681
Erzincan,276
Erzurum,407
Eskişehir,1524
Gaziantep,1942
Giresun,469
Gümüşhane,92
Hakkari,37
Hatay,1745
Isparta,563
Mersin,2961
İstanbul,24492
İzmir,10475
Kars,142
Kastamonu,438
Kayseri,1945
Kırklareli,501
Kırşehir,390
Kocaeli,2450
Konya,3186
Kütahya,811
Malatya,800
Manisa,2234
Kahramanmaraş,1412
Mardin,227
Muğla,1870
Muş,90
Nevşehir,669
Niğde,401
Ordu,736
Rize,267
Sakarya,1274
Samsun,1531
Siirt,62
Sinop,288
Sivas,649
Tekirdağ,1477
Tokat,670
Trabzon,681
Tunceli,95
Şanlıurfa,877
Uşak,727
Van,239
Yozgat,687
Zonguldak,1173
Aksaray,996
Bayburt,47
Karaman,428
Kırıkkale,605
Batman,136
Şırnak,68
Bartın,342
Ardahan,59
Iğdır,220
Yalova,386
Karabük,360
Kilis,106
Osmaniye,520
Düzce,422
