city,value
Adana,15330
Adıyaman,3561
Afyonkarahisar,5177
Ağrı,3077
Amasya,2096
Ankara,37269
Antalya,20004
Artvin,958
Aydın,7823
Balıkesir,8630
Bilecik,1490
Bingöl,1477
Bitlis,2037
Bolu,2033
Burdur,1682
Bursa,21837
Çanakkale,3633
Çankırı,1114
Çorum,3343
Denizli,7596
Diyarbakır,10611
Edirne,2528
Elazığ,3888
Erzincan,1383
Erzurum,4438
Eskişehir,6031
Gaziantep,16343
Giresun,2636
Gümüşhane,663
Hakkari,1559
Hatay,9491
Isparta,2698
Mersin,13614
İstanbul,106588
İzmir,30397
Kars,1523
Kastamonu,2185
Kayseri,9889
Kırklareli,2319
Kırşehir,1589
Kocaeli,14976
Konya,16878
Kütahya,3634
Malatya,3872
Manisa,10384
Kahramanmaraş,6991
Mardin,5713
Muğla,7510
Muş,2118
Nevşehir,2270
Niğde,2552
Ordu,4895
Rize,1927
Sakarya,7653
Samsun,9058
Siirt,1859
Sinop,1256
Sivas,4106
Tekirdağ,7735
Tokat,3692
Trabzon,4867
Tunceli,419
Şanlıurfa,15155
Uşak,2644
Van,6555
Yozgat,2874
Zonguldak,3745
Aksaray,3405
Bayburt,435
Karaman,1894
Kırıkkale,2038
Batman,3838
Şırnak,3316
Bartın,1234
Ardahan,467
Iğdır,1142
Yalova,1970
Karabük,1523
Kilis,1226
Osmaniye,4120
Düzce,2949
