city,value
Adana,17940
Adıyaman,6032
Afyonkarahisar,5724
Ağrı,5526
Amasya,2233
Ankara,36509
Antalya,17012
Artvin,1107
Aydın,7791
Balıkesir,8095
Bilecik,1313
Bingöl,2206
Bitlis,2828
Bolu,2016
Burdur,1623
Bursa,20364
Çanakkale,3122
Çankırı,1280
Çorum,4234
Denizli,7174
Diyarbakır,13319
Edirne,2532
Elazığ,4773
Erzincan,1496
Erzurum,6306
Eskişehir,5977
Gaziantep,16807
Giresun,2729
Gümüşhane,915
Hakkari,1973
Hatay,12784
Isparta,2806
Mersin,13679
İstanbul,111050
İzmir,32219
Kars,2569
Kastamonu,2210
Kayseri,10332
Kırklareli,2258
Kırşehir,1841
Kocaeli,12840
Konya,16751
Kütahya,3870
Malatya,5823
Manisa,10366
Kahramanmaraş,9018
Mardin,6299
Muğla,6120
Muş,3680
Nevşehir,2483
Niğde,2806
Ordu,5014
Rize,2121
Sakarya,6992
Samsun,9727
Siirt,2390
Sinop,1467
Sivas,4785
Tekirdağ,6369
Tokat,4525
Trabzon,5371
Tunceli,528
Şanlıurfa,15811
Uşak,2741
Van,10123
Yozgat,4119
Zonguldak,4369
Aksaray,3646
Bayburt,547
Karaman,1836
Kırıkkale,2421
Batman,4098
Şırnak,3253
Bartın,1393
Ardahan,831
Iğdır,1661
Yalova,1586
Karabük,1446
Kilis,1259
Osmaniye,4193
Düzce,2756
