city,value
Adana,17281
Adıyaman,5580
Afyonkarahisar,5483
Ağrı,5114
Amasya,2227
Ankara,38139
Antalya,17978
Artvin,1075
Aydın,7938
Balıkesir,8153
Bilecik,1297
Bingöl,2149
Bitlis,2831
Bolu,1896
Burdur,1603
Bursa,21062
Çanakkale,3219
Çankırı,1157
Çorum,3979
Denizli,7471
Diyarbakır,13049
Edirne,2541
Elazığ,4437
Erzincan,1404
Erzurum,5830
Eskişehir,5857
Gaziantep,16578
Giresun,2665
Gümüşhane,881
Hakkari,1837
Hatay,12647
Isparta,2760
Mersin,13827
İstanbul,114382
İzmir,32469
Kars,2117
Kastamonu,2178
Kayseri,10233
Kırklareli,2147
Kırşehir,1839
Kocaeli,13716
Konya,16494
Kütahya,3768
Malatya,5581
Manisa,10263
Kahramanmaraş,8892
Mardin,6418
Muğla,6483
Muş,3534
Nevşehir,2354
Niğde,2807
Ordu,5118
Rize,2112
Sakarya,7301
Samsun,9310
Siirt,2407
Sinop,1381
Sivas,4726
Tekirdağ,6744
Tokat,4213
Trabzon,5445
Tunceli,513
Şanlıurfa,16559
Uşak,2660
Van,9870
Yozgat,3875
Zonguldak,4142
Aksaray,3621
Bayburt,495
Karaman,1889
Kırıkkale,2286
Batman,4405
Şırnak,3495
Bartın,1247
Ardahan,657
Iğdır,1678
Yalova,1750
Karabük,1479
Kilis,1277
Osmaniye,3969
Düzce,2738
