city,value
Adana,4057
Adıyaman,576
Afyonkarahisar,907
Ağrı,191
Amasya,462
Ankara,11221
Antalya,5712
Artvin,172
Aydın,2128
Balıkesir,2274
Bilecik,337
Bingöl,135
Bitlis,79
Bolu,450
Burdur,415
Bursa,4835
Çanakkale,727
Çankırı,204
Çorum,857
Denizli,2250
Diyarbakır,773
Edirne,603
Elazığ,670
Erzincan,266
Erzurum,450
Eskişehir,1656
Gaziantep,2424
Giresun,482
Gümüşhane,104
Hakkari,39
Hatay,2094
Isparta,655
Mersin,3400
İstanbul,27024
İzmir,10789
Kars,158
Kastamonu,384
Kayseri,2291
Kırklareli,564
Kırşehir,341
Kocaeli,2934
Konya,3587
Kütahya,855
Malatya,856
Manisa,2315
Kahramanmaraş,1313
Mardin,287
Muğla,2149
Muş,111
Nevşehir,501
Niğde,556
Ordu,847
Rize,287
Sakarya,1487
Samsun,1728
Siirt,89
Sinop,281
Sivas,622
Tekirdağ,1648
Tokat,614
Trabzon,613
Tunceli,120
Şanlıurfa,879
Uşak,743
Van,287
Yozgat,667
Zonguldak,987
Aksaray,731
Bayburt,43
Karaman,416
Kırıkkale,557
Batman,208
Şırnak,91
Bartın,276
Ardahan,75
Iğdır,219
Yalova,356
Karabük,348
Kilis,138
Osmaniye,655
Düzce,673
