city,value
Adana,13653
Adıyaman,4508
Afyonkarahisar,4356
Ağrı,3320
Amasya,1830
Ankara,30281
Antalya,15612
Artvin,780
Aydın,6465
Balıkesir,7018
Bilecik,1181
Bingöl,1451
Bitlis,2141
Bolu,1654
Burdur,1463
Bursa,17763
Çanakkale,2778
Çankırı,1048
Çorum,3046
Denizli,6177
Diyarbakır,10380
Edirne,2069
Elazığ,3384
Erzincan,1200
Erzurum,4346
Eskişehir,4753
Gaziantep,14149
Giresun,2375
Gümüşhane,643
Hakkari,1323
Hatay,11110
Isparta,2491
Mersin,12117
İstanbul,86029
İzmir,26131
Kars,1375
Kastamonu,1836
Kayseri,8599
Kırklareli,1814
Kırşehir,1325
Kocaeli,11291
Konya,14607
Kütahya,2875
Malatya,4869
Manisa,8367
Kahramanmaraş,7488
Mardin,5772
Muğla,5959
Muş,2540
Nevşehir,1941
Niğde,2266
Ordu,3991
Rize,1713
Sakarya,6099
Samsun,7848
Siirt,1825
Sinop,1165
Sivas,3503
Tekirdağ,5821
Tokat,3415
Trabzon,4456
Tunceli,355
Şanlıurfa,14963
Uşak,2223
Van,6434
Yozgat,2749
Zonguldak,3219
Aksaray,2926
Bayburt,425
Karaman,1648
Kırıkkale,1796
Batman,3955
Şırnak,3196
Bartın,1128
Ardahan,553
Iğdır,1147
Yalova,1621
Karabük,1376
Kilis,999
Osmaniye,3510
Düzce,2327
