city,value
Adana,2719
Adıyaman,457
Afyonkarahisar,1215
Ağrı,101
Amasya,374
Ankara,7327
Antalya,2941
Artvin,150
Aydın,1571
Balıkesir,1856
Bilecik,171
Bingöl,153
Bitlis,42
Bolu,310
Burdur,372
Bursa,2664
Çanakkale,527
Çankırı,168
Çorum,793
Denizli,1780
Diyarbakır,466
Edirne,566
Elazığ,582
Erzincan,211
Erzurum,314
Eskişehir,1079
Gaziantep,1580
Giresun,563
Gümüşhane,97
Hakkari,20
Hatay,1558
Isparta,559
Mersin,2511
İstanbul,18870
İzmir,8033
Kars,138
Kastamonu,337
Kayseri,1447
Kırklareli,367
Kırşehir,508
Kocaeli,1477
Konya,2910
Kütahya,682
Malatya,597
Manisa,1659
Kahramanmaraş,1215
Mardin,194
Muğla,1302
Muş,67
Nevşehir,564
Niğde,317
Ordu,759
Rize,221
Sakarya,912
Samsun,1460
Siirt,38
Sinop,260
Sivas,751
Tekirdağ,1089
Tokat,595
Trabzon,645
Tunceli,89
Şanlıurfa,789
Uşak,738
Van,116
Yozgat,868
Zonguldak,1214
Aksaray,740
Bayburt,44
Karaman,456
Kırıkkale,491
Batman,87
Şırnak,51
Bartın,355
Ardahan,57
Iğdır,218
Yalova,229
Karabük,303
Kilis,104
Osmaniye,494
Düzce,368
