city,value
Adana,17921
Adıyaman,6042
Afyonkarahisar,6196
Ağrı,5978
Amasya,2533
Ankara,34098
Antalya,15517
Artvin,1138
Aydın,7439
Balıkesir,8173
Bilecik,1239
Bingöl,2343
Bitlis,2790
Bolu,1908
Burdur,1661
Bursa,18260
Çanakkale,3201
Çankırı,1463
Çorum,4909
Denizli,6854
Diyarbakır,14160
Edirne,2573
Elazığ,4841
Erzincan,1579
Erzurum,6687
Eskişehir,5407
Gaziantep,15741
Giresun,3095
Gümüşhane,1059
Hakkari,1622
Hatay,13203
Isparta,2995
Mersin,13556
İstanbul,100406
İzmir,29582
Kars,2831
Kastamonu,2472
Kayseri,10291
Kırklareli,2149
Kırşehir,2182
Kocaeli,11779
Konya,17079
Kütahya,4175
Malatya,6169
Manisa,9951
Kahramanmaraş,9966
Mardin,6486
Muğla,6049
Muş,3926
Nevşehir,2599
Niğde,3229
Ordu,5547
Rize,2236
Sakarya,6608
Samsun,10083
Siirt,2504
Sinop,1635
Sivas,5384
Tekirdağ,5417
Tokat,5221
Trabzon,5784
Tunceli,638
Şanlıurfa,16666
Uşak,2747
Van,9467
Yozgat,5270
Zonguldak,6192
Aksaray,4338
Bayburt,599
Karaman,2064
Kırıkkale,2688
Batman,4501
Şırnak,3012
Bartın,1654
Ardahan,887
Iğdır,1833
Yalova,1501
Karabük,1692
Kilis,1192
Osmaniye,4306
Düzce,2574
