city,value
Adana,5578
Adıyaman,844
Afyonkarahisar,1321
Ağrı,365
Amasya,758
Ankara,15409
Antalya,8065
Artvin,231
Aydın,3163
Balıkesir,3153
Bilecik,472
Bingöl,238
Bitlis,184
Bolu,592
Burdur,562
Bursa,7051
Çanakkale,1430
Çankırı,310
Çorum,1096
Denizli,3085
Diyarbakır,1758
Edirne,926
Elazığ,1018
Erzincan,408
Erzurum,816
Eskişehir,2485
Gaziantep,4438
Giresun,726
Gümüşhane,145
Hakkari,124
Hatay,3421
Isparta,859
Mersin,5049
İstanbul,35262
İzmir,13864
Kars,275
Kastamonu,600
Kayseri,3536
Kırklareli,852
Kırşehir,481
Kocaeli,4713
Konya,4951
Kütahya,1178
Malatya,1426
Manisa,3523
Kahramanmaraş,2580
Mardin,680
Muğla,3018
Muş,234
Nevşehir,812
Niğde,785
Ordu,1451
Rize,482
Sakarya,2116
Samsun,2775
Siirt,174
Sinop,458
Sivas,1050
Tekirdağ,2949
Tokat,1052
Trabzon,1122
Tunceli,193
Şanlıurfa,2011
Uşak,1166
Van,788
Yozgat,858
Zonguldak,1291
Aksaray,1004
Bayburt,73
Karaman,739
Kırıkkale,662
Batman,509
Şırnak,240
Bartın,409
Ardahan,109
Iğdır,377
Yalova,651
Karabük,554
Kilis,272
Osmaniye,1179
Düzce,873
