city,value
Adana,3042
Adıyaman,417
Afyonkarahisar,932
Ağrı,114
Amasya,361
Ankara,8894
Antalya,3905
Artvin,126
Aydın,1851
Balıkesir,1763
Bilecik,228
Bingöl,135
Bitlis,38
Bolu,297
Burdur,373
Bursa,3298
Çanakkale,664
Çankırı,166
Çorum,704
Denizli,1893
Diyarbakır,538
Edirne,579
Elazığ,578
Erzincan,213
Erzurum,338
Eskişehir,1378
Gaziantep,1621
Giresun,477
Gümüşhane,96
Hakkari,30
Hatay,1691
Isparta,484
Mersin,2747
İstanbul,20703
İzmir,9531
Kars,130
Kastamonu,360
Kayseri,1745
Kırklareli,502
Kırşehir,400
Kocaeli,2205
Konya,2712
Kütahya,735
Malatya,678
Manisa,1869
Kahramanmaraş,1184
Mardin,209
Muğla,1614
Muş,76
Nevşehir,472
Niğde,351
Ordu,654
Rize,210
Sakarya,1026
Samsun,1364
Siirt,44
Sinop,279
Sivas,541
Tekirdağ,1195
Tokat,564
Trabzon,552
Tunceli,88
Şanlıurfa,743
Uşak,807
Van,161
Yozgat,627
Zonguldak,1176
Aksaray,989
Bayburt,49
Karaman,307
Kırıkkale,528
Batman,112
Şırnak,74
Bartın,235
Ardahan,49
Iğdır,211
Yalova,325
Karabük,282
Kilis,107
Osmaniye,480
Düzce,437
