city,value
Adana,15816
Adıyaman,5152
Afyonkarahisar,5117
Ağrı,4298
Amasya,2030
Ankara,34645
Antalya,16199
Artvin,954
Aydın,7698
Balıkesir,7865
Bilecik,1271
Bingöl,2015
Bitlis,2548
Bolu,1786
Burdur,1475
Bursa,19829
Çanakkale,3239
Çankırı,1161
Çorum,3589
Denizli,6981
Diyarbakır,12515
Edirne,2286
Elazığ,3989
Erzincan,1359
Erzurum,4893
Eskişehir,5596
Gaziantep,15226
Giresun,2503
Gümüşhane,741
Hakkari,1752
Hatay,12019
Isparta,2682
Mersin,13122
İstanbul,101333
İzmir,29588
Kars,1762
Kastamonu,1941
Kayseri,9353
Kırklareli,2138
Kırşehir,1580
Kocaeli,12940
Konya,15644
Kütahya,3396
Malatya,5258
Manisa,9416
Kahramanmaraş,8267
Mardin,6365
Muğla,6401
Muş,3092
Nevşehir,2065
Niğde,2504
Ordu,4615
Rize,1949
Sakarya,6835
Samsun,9018
Siirt,2247
Sinop,1310
Sivas,4134
Tekirdağ,6389
Tokat,4008
Trabzon,4963
Tunceli,465
Şanlıurfa,15732
Uşak,2521
Van,8393
Yozgat,3271
Zonguldak,3589
Aksaray,3290
Bayburt,403
Karaman,1671
Kırıkkale,2102
Batman,4376
Şırnak,3490
Bartın,1250
Ardahan,576
Iğdır,1463
Yalova,1713
Karabük,1472
Kilis,1193
Osmaniye,4036
Düzce,2521
