city,value
Adana,19395
Adıyaman,6491
Afyonkarahisar,7523
Ağrı,6914
Amasya,3103
Ankara,31992
Antalya,13168
Artvin,1336
Aydın,7736
Balıkesir,8939
Bilecik,1472
Bingöl,2915
Bitlis,3561
Bolu,2299
Burdur,2120
Bursa,18460
Çanakkale,3364
Çankırı,2101
Çorum,6449
Denizli,8511
Diyarbakır,15042
Edirne,3022
Elazığ,5190
Erzincan,1789
Erzurum,7810
Eskişehir,5954
Gaziantep,14194
Giresun,3553
Gümüşhane,1240
Hakkari,1726
Hatay,13169
Isparta,3358
Mersin,12859
İstanbul,88895
İzmir,29722
Kars,3144
Kastamonu,3329
Kayseri,11726
Kırklareli,2476
Kırşehir,3154
Kocaeli,11396
Konya,19052
Kütahya,5078
Malatya,7554
Manisa,11386
Kahramanmaraş,10787
Mardin,6268
Muğla,5579
Muş,5421
Nevşehir,3199
Niğde,3954
Ordu,6305
Rize,2381
Sakarya,7129
Samsun,11645
Siirt,2695
Sinop,1990
Sivas,6808
Tekirdağ,5234
Tokat,6562
Trabzon,5962
Tunceli,596
Şanlıurfa,15923
Uşak,3177
Van,9790
Yozgat,7040
Zonguldak,5845
Aksaray,4845
Bayburt,887
Karaman,2472
Kırıkkale,3259
Batman,4760
Şırnak,3615
Bartın,1790
Ardahan,1303
Iğdır,1629
Yalova,1398
Karabük,2030
Kilis,1659
Osmaniye,4892
Düzce,2861
