city,value
Adana,2926
Adıyaman,552
Afyonkarahisar,1377
Ağrı,78
Amasya,320
Ankara,7973
Antalya,3210
Artvin,160
Aydın,1706
Balıkesir,1707
Bilecik,184
Bingöl,154
Bitlis,23
Bolu,294
Burdur,398
Bursa,2748
Çanakkale,577
Çankırı,204
Çorum,847
Denizli,1805
Diyarbakır,387
Edirne,498
Elazığ,659
Erzincan,267
Erzurum,362
Eskişehir,1203
Gaziantep,1757
Giresun,501
Gümüşhane,148
Hakkari,12
Hatay,1556
Isparta,577
Mersin,2533
İstanbul,19751
İzmir,8104
Kars,119
Kastamonu,365
Kayseri,1594
Kırklareli,419
Kırşehir,628
Kocaeli,1543
Konya,2802
Kütahya,737
Malatya,600
Manisa,1664
Kahramanmaraş,1127
Mardin,192
Muğla,1266
Muş,68
Nevşehir,742
Niğde,370
Ordu,778
Rize,264
Sakarya,1007
Samsun,1547
Siirt,35
Sinop,322
Sivas,841
Tekirdağ,837
Tokat,629
Trabzon,762
Tunceli,84
Şanlıurfa,656
Uşak,935
Van,98
Yozgat,1045
Zonguldak,1408
Aksaray,1027
Bayburt,83
Karaman,362
Kırıkkale,395
Batman,71
Şırnak,43
Bartın,341
Ardahan,51
Iğdır,292
Yalova,273
Karabük,313
Kilis,110
Osmaniye,469
Düzce,451
