city,value
Adana,13709
Adıyaman,4928
Afyonkarahisar,6372
Ağrı,5088
Amasya,2922
Ankara,26607
Antalya,11570
Artvin,1339
Aydın,6532
Balıkesir,7604
Bilecik,1277
Bingöl,2041
Bitlis,2599
Bolu,2057
Burdur,1990
Bursa,15600
Çanakkale,2843
Çankırı,1936
Çorum,5562
Denizli,6995
Diyarbakır,10799
Edirne,2685
Elazığ,4331
Erzincan,1693
Erzurum,6857
Eskişehir,4969
Gaziantep,10773
Giresun,3510
Gümüşhane,1114
Hakkari,1385
Hatay,11106
Isparta,3098
Mersin,11469
İstanbul,74987
İzmir,23964
Kars,2956
Kastamonu,3080
Kayseri,9386
Kırklareli,2123
Kırşehir,2583
Kocaeli,9110
Konya,15833
Kütahya,4560
Malatya,6272
Manisa,9308
Kahramanmaraş,8936
Mardin,5375
Muğla,5125
Muş,2907
Nevşehir,2764
Niğde,3328
Ordu,5890
Rize,2381
Sakarya,6080
Samsun,10126
Siirt,2016
Sinop,1895
Sivas,5933
Tekirdağ,4366
Tokat,5300
Trabzon,5805
Tunceli,606
Şanlıurfa,13144
Uşak,2777
Van,6799
Yozgat,5370
Zonguldak,5208
Aksaray,3759
Bayburt,624
Karaman,2000
Kırıkkale,2748
Batman,3235
Şırnak,2094
Bartın,1731
Ardahan,1309
Iğdır,1642
Yalova,1381
Karabük,1763
Kilis,1323
Osmaniye,4470
Düzce,2423
