city,value
Adana,14211
Adıyaman,5219
Afyonkarahisar,7337
Ağrı,4518
Amasya,3344
Ankara,29871
Antalya,11684
Artvin,1493
Aydın,7164
Balıkesir,8527
Bilecik,1313
Bingöl,2223
Bitlis,2363
Bolu,2153
Burdur,2080
Bursa,15814
Çanakkale,3053
Çankırı,2065
Çorum,6423
Denizli,7644
Diyarbakır,10188
Edirne,2795
Elazığ,4707
Erzincan,1869
Erzurum,7148
Eskişehir,5208
Gaziantep,10221
Giresun,3824
Gümüşhane,1321
Hakkari,2026
Hatay,11375
Isparta,3403
Mersin,11476
İstanbul,78734
İzmir,23429
Kars,2658
Kastamonu,3258
Kayseri,10040
Kırklareli,2322
Kırşehir,3123
Kocaeli,9821
Konya,16882
Kütahya,4982
Malatya,6570
Manisa,10159
Kahramanmaraş,10065
Mardin,5207
Muğla,5167
Muş,2863
Nevşehir,3249
Niğde,3778
Ordu,7129
Rize,2603
Sakarya,7218
Samsun,11705
Siirt,3181
Sinop,2114
Sivas,7221
Tekirdağ,4310
Tokat,6467
Trabzon,6386
Tunceli,582
Şanlıurfa,11168
Uşak,2892
Van,8994
Yozgat,6560
Zonguldak,6158
Aksaray,4233
Bayburt,801
Karaman,2123
Kırıkkale,3263
Batman,3273
Şırnak,2524
Bartın,2102
Ardahan,1463
Iğdır,1445
Yalova,1330
Karabük,1941
Kilis,1502
Osmaniye,4440
Düzce,2827
