city,value
Adana,15828
Adıyaman,5722
Afyonkarahisar,7238
Ağrı,4374
Amasya,3102
Ankara,30116
Antalya,12917
Artvin,1334
Aydın,7348
Balıkesir,8603
Bilecik,1357
Bingöl,2404
Bitlis,2626
Bolu,2189
Burdur,2098
Bursa,17426
Çanakkale,3116
Çankırı,2017
Çorum,6064
Denizli,8370
Diyarbakır,10721
Edirne,2764
Elazığ,4769
Erzincan,1692
Erzurum,7287
Eskişehir,5420
Gaziantep,12623
Giresun,3538
Gümüşhane,1141
Hakkari,1401
Hatay,11221
Isparta,3305
Mersin,12915
İstanbul,83036
İzmir,27067
Kars,3208
Kastamonu,3327
Kayseri,10806
Kırklareli,2303
Kırşehir,2790
Kocaeli,10050
Konya,18189
Kütahya,5065
Malatya,6922
Manisa,10512
Kahramanmaraş,9876
Mardin,5319
Muğla,5424
Muş,3528
Nevşehir,3197
Niğde,3767
Ordu,6295
Rize,2408
Sakarya,6922
Samsun,11068
Siirt,2388
Sinop,2097
Sivas,6506
Tekirdağ,4925
Tokat,6124
Trabzon,5938
Tunceli,651
Şanlıurfa,14595
Uşak,3008
Van,9777
Yozgat,6169
Zonguldak,5603
Aksaray,4090
Bayburt,713
Karaman,2315
Kırıkkale,3053
Batman,3615
Şırnak,2407
Bartın,2028
Ardahan,1398
Iğdır,1662
Yalova,1459
Karabük,1946
Kilis,1306
Osmaniye,4829
Düzce,2741
