city,value
Adana,3928
Adıyaman,484
Afyonkarahisar,978
Ağrı,189
Amasya,409
Ankara,10590
Antalya,5687
Artvin,149
Aydın,2228
Balıkesir,2261
Bilecik,334
Bingöl,110
Bitlis,97
Bolu,372
Burdur,383
Bursa,5356
Çanakkale,999
Çankırı,197
Çorum,675
Denizli,2250
Diyarbakır,719
Edirne,645
Elazığ,511
Erzincan,318
Erzurum,420
Eskişehir,1679
Gaziantep,2187
Giresun,501
Gümüşhane,77
Hakkari,40
Hatay,2125
Isparta,582
Mersin,3518
İstanbul,27121
İzmir,11049
Kars,126
Kastamonu,384
Kayseri,2688
Kırklareli,629
Kırşehir,378
Kocaeli,2966
Konya,3454
Kütahya,786
Malatya,1056
Manisa,2348
Kahramanmaraş,1475
Mardin,288
Muğla,2338
Muş,101
Nevşehir,477
Niğde,566
Ordu,832
Rize,292
Sakarya,1562
Samsun,1794
Siirt,75
Sinop,271
Sivas,683
Tekirdağ,1862
Tokat,647
Trabzon,625
Tunceli,136
Şanlıurfa,996
Uşak,675
Van,327
Yozgat,554
Zonguldak,990
Aksaray,816
Bayburt,52
Karaman,391
Kırıkkale,450
Batman,159
Şırnak,73
Bartın,274
Ardahan,53
Iğdır,232
Yalova,368
Karabük,326
Kilis,160
Osmaniye,738
Düzce,523
