city,value
Adana,15585
Adıyaman,5070
Afyonkarahisar,5285
Ağrı,3845
Amasya,2021
Ankara,34866
Antalya,17040
Artvin,954
Aydın,7804
Balıkesir,8137
Bilecik,1358
Bingöl,1831
Bitlis,2424
Bolu,1831
Burdur,1772
Bursa,20166
Çanakkale,3373
Çankırı,1069
Çorum,3547
Denizli,7544
Diyarbakır,11734
Edirne,2325
Elazığ,4061
Erzincan,1314
Erzurum,4697
Eskişehir,5615
Gaziantep,16865
Giresun,2645
Gümüşhane,715
Hakkari,1928
Hatay,12554
Isparta,2885
Mersin,13459
İstanbul,98796
İzmir,29692
Kars,1648
Kastamonu,2059
Kayseri,10127
Kırklareli,2217
Kırşehir,1644
Kocaeli,13129
Konya,17018
Kütahya,3518
Malatya,5589
Manisa,10319
Kahramanmaraş,8766
Mardin,6438
Muğla,6835
Muş,2710
Nevşehir,2258
Niğde,2563
Ordu,4811
Rize,1840
Sakarya,6995
Samsun,8957
Siirt,2182
Sinop,1252
Sivas,4048
Tekirdağ,6968
Tokat,3937
Trabzon,4959
Tunceli,429
Şanlıurfa,17192
Uşak,2665
Van,7967
Yozgat,3258
Zonguldak,3647
Aksaray,3403
Bayburt,436
Karaman,1838
Kırıkkale,1976
Batman,4497
Şırnak,3583
Bartın,1222
Ardahan,571
Iğdır,1364
Yalova,1885
Karabük,1504
Kilis,1197
Osmaniye,4115
Düzce,2797
