city,value
Adana,2955
Adıyaman,506
Afyonkarahisar,1351
Ağrı,82
Amasya,320
Ankara,7870
Antalya,2907
Artvin,117
Aydın,1693
Balıkesir,1725
Bilecik,148
Bingöl,133
Bitlis,23
Bolu,292
Burdur,424
Bursa,2754
Çanakkale,500
Çankırı,180
Çorum,829
Denizli,1692
Diyarbakır,312
Edirne,484
Elazığ,545
Erzincan,271
Erzurum,304
Eskişehir,1235
Gaziantep,1620
Giresun,529
Gümüşhane,149
Hakkari,15
Hatay,1605
Isparta,550
Mersin,2511
İstanbul,18625
İzmir,8200
Kars,117
Kastamonu,352
Kayseri,1614
Kırklareli,430
Kırşehir,632
Kocaeli,1431
Konya,3034
Kütahya,768
Malatya,575
Manisa,1820
Kahramanmaraş,1120
Mardin,155
Muğla,1093
Muş,64
Nevşehir,650
Niğde,325
Ordu,667
Rize,212
Sakarya,978
Samsun,1421
Siirt,33
Sinop,319
Sivas,770
Tekirdağ,721
Tokat,580
Trabzon,634
Tunceli,96
Şanlıurfa,518
Uşak,1022
Van,78
Yozgat,993
Zonguldak,1279
Aksaray,915
Bayburt,44
Karaman,408
Kırıkkale,427
Batman,68
Şırnak,48
Bartın,362
Ardahan,55
Iğdır,247
Yalova,324
Karabük,295
Kilis,98
Osmaniye,392
Düzce,354
