city,value
Adana,4332
Adıyaman,551
Afyonkarahisar,979
Ağrı,252
Amasya,463
Ankara,11195
Antalya,6388
Artvin,158
Aydın,2330
Balıkesir,2416
Bilecik,389
Bingöl,162
Bitlis,130
Bolu,510
Burdur,436
Bursa,5343
Çanakkale,872
Çankırı,218
Çorum,745
Denizli,2322
Diyarbakır,1061
Edirne,734
Elazığ,733
Erzincan,224
Erzurum,544
Eskişehir,1888
Gaziantep,3006
Giresun,638
Gümüşhane,85
Hakkari,71
Hatay,2513
Isparta,699
Mersin,4138
İstanbul,27616
İzmir,10787
Kars,189
Kastamonu,400
Kayseri,2592
Kırklareli,616
Kırşehir,451
Kocaeli,3644
Konya,3925
Kütahya,766
Malatya,1094
Manisa,2556
Kahramanmaraş,1768
Mardin,462
Muğla,2391
Muş,115
Nevşehir,559
Niğde,646
Ordu,998
Rize,316
Sakarya,1665
Samsun,1889
Siirt,122
Sinop,341
Sivas,795
Tekirdağ,2050
Tokat,756
Trabzon,892
Tunceli,160
Şanlıurfa,1248
Uşak,853
Van,569
Yozgat,530
Zonguldak,1048
Aksaray,795
Bayburt,35
Karaman,428
Kırıkkale,578
Batman,256
Şırnak,164
Bartın,300
Ardahan,72
Iğdır,171
Yalova,556
Karabük,326
Kilis,155
Osmaniye,803
Düzce,597
