city,value
Adana,2629
Adıyaman,387
Afyonkarahisar,948
Ağrı,107
Amasya,312
Ankara,8132
Antalya,3517
Artvin,132
Aydın,1617
Balıkesir,1774
Bilecik,218
Bingöl,158
Bitlis,34
Bolu,315
Burdur,368
Bursa,3049
Çanakkale,559
Çankırı,167
Çorum,627
Denizli,1800
Diyarbakır,445
Edirne,529
Elazığ,574
Erzincan,201
Erzurum,319
Eskişehir,1274
Gaziantep,1553
Giresun,432
Gümüşhane,86
Hakkari,26
Hatay,1439
Isparta,493
Mersin,2313
İstanbul,20679
İzmir,8820
Kars,125
Kastamonu,353
Kayseri,1576
Kırklareli,482
Kırşehir,463
Kocaeli,1604
Konya,2833
Kütahya,608
Malatya,651
Manisa,1710
Kahramanmaraş,1178
Mardin,206
Muğla,1538
Muş,63
Nevşehir,436
Niğde,307
Ordu,673
Rize,186
Sakarya,1034
Samsun,1341
Siirt,46
Sinop,251
Sivas,539
Tekirdağ,996
Tokat,517
Trabzon,494
Tunceli,108
Şanlıurfa,803
Uşak,677
Van,164
Yozgat,692
Zonguldak,1007
Aksaray,813
Bayburt,66
Karaman,317
Kırıkkale,494
Batman,94
Şırnak,54
Bartın,220
Ardahan,43
Iğdır,211
Yalova,324
Karabük,286
Kilis,94
Osmaniye,350
Düzce,429
