city,value
Adana,2922
Adıyaman,488
Afyonkarahisar,1368
Ağrı,90
Amasya,350
Ankara,7389
Antalya,3049
Artvin,125
Aydın,1626
Balıkesir,1870
Bilecik,199
Bingöl,152
Bitlis,44
Bolu,335
Burdur,429
Bursa,2891
Çanakkale,597
Çankırı,198
Çorum,796
Denizli,1801
Diyarbakır,461
Edirne,459
Elazığ,610
Erzincan,240
Erzurum,328
Eskişehir,1184
Gaziantep,1806
Giresun,583
Gümüşhane,123
Hakkari,28
Hatay,1627
Isparta,581
Mersin,2416
İstanbul,18163
İzmir,7598
Kars,137
Kastamonu,346
Kayseri,1524
Kırklareli,440
Kırşehir,581
Kocaeli,1552
Konya,2859
Kütahya,805
Malatya,656
Manisa,1763
Kahramanmaraş,1038
Mardin,209
Muğla,1367
Muş,88
Nevşehir,579
Niğde,402
Ordu,759
Rize,224
Sakarya,966
Samsun,1530
Siirt,37
Sinop,269
Sivas,799
Tekirdağ,914
Tokat,655
Trabzon,687
Tunceli,96
Şanlıurfa,729
Uşak,796
Van,124
Yozgat,957
Zonguldak,1576
Aksaray,903
Bayburt,59
Karaman,342
Kırıkkale,467
Batman,71
Şırnak,59
Bartın,347
Ardahan,58
Iğdır,301
Yalova,279
Karabük,326
Kilis,117
Osmaniye,483
Düzce,435
