city,value
Adana,16577
Adıyaman,7152
Afyonkarahisar,7515
Ağrı,8590
Amasya,3146
Ankara,33210
Antalya,14318
Artvin,1302
Aydın,7995
Balıkesir,8857
Bilecik,1497
Bingöl,2707
Bitlis,4066
Bolu,2200
Burdur,2015
Bursa,19098
Çanakkale,3397
Çankırı,2053
Çorum,6742
Denizli,8597
Diyarbakır,15494
Edirne,3012
Elazığ,5505
Erzincan,1969
Erzurum,8735
Eskişehir,5901
Gaziantep,17596
Giresun,3580
Gümüşhane,1201
Hakkari,1651
Hatay,13399
Isparta,3590
Mersin,13423
İstanbul,95058
İzmir,29303
Kars,3698
Kastamonu,3187
Kayseri,12156
Kırklareli,2428
Kırşehir,3289
Kocaeli,11765
Konya,19140
Kütahya,4806
Malatya,7524
Manisa,11461
Kahramanmaraş,10695
Mardin,7200
Muğla,5846
Muş,5855
Nevşehir,3152
Niğde,3985
Ordu,7118
Rize,2517
Sakarya,7893
Samsun,12038
Siirt,3419
Sinop,2064
Sivas,7135
Tekirdağ,5374
Tokat,6479
Trabzon,6213
Tunceli,671
Şanlıurfa,17240
Uşak,3195
Van,10004
Yozgat,7023
Zonguldak,6103
Aksaray,5360
Bayburt,827
Karaman,2244
Kırıkkale,3619
Batman,5142
Şırnak,3482
Bartın,1871
Ardahan,1338
Iğdır,2722
Yalova,1496
Karabük,2005
Kilis,1579
Osmaniye,5199
Düzce,3233
