city,value
Adana,3841
Adıyaman,422
Afyonkarahisar,1010
Ağrı,151
Amasya,386
Ankara,10491
Antalya,5621
Artvin,157
Aydın,2104
Balıkesir,2259
Bilecik,327
Bingöl,83
Bitlis,50
Bolu,365
Burdur,416
Bursa,4660
Çanakkale,882
Çankırı,209
Çorum,769
Denizli,2101
Diyarbakır,637
Edirne,669
Elazığ,532
Erzincan,217
Erzurum,448
Eskişehir,1573
Gaziantep,2283
Giresun,492
Gümüşhane,52
Hakkari,30
Hatay,1917
Isparta,633
Mersin,3246
İstanbul,25884
İzmir,11149
Kars,150
Kastamonu,496
Kayseri,1954
Kırklareli,577
Kırşehir,420
Kocaeli,2495
Konya,3476
Kütahya,909
Malatya,776
Manisa,2156
Kahramanmaraş,1465
Mardin,271
Muğla,2008
Muş,72
Nevşehir,629
Niğde,476
Ordu,781
Rize,257
Sakarya,1254
Samsun,1751
Siirt,64
Sinop,236
Sivas,656
Tekirdağ,1524
Tokat,654
Trabzon,624
Tunceli,94
Şanlıurfa,660
Uşak,734
Van,244
Yozgat,623
Zonguldak,946
Aksaray,777
Bayburt,46
Karaman,436
Kırıkkale,582
Batman,126
Şırnak,73
Bartın,293
Ardahan,57
Iğdır,180
Yalova,414
Karabük,401
Kilis,110
Osmaniye,589
Düzce,535
