city,value
Adana,16506
Adıyaman,5079
Afyonkarahisar,5032
Ağrı,4300
Amasya,2103
Ankara,35851
Antalya,16474
Artvin,963
Aydın,7641
Balıkesir,7990
Bilecik,1306
Bingöl,2015
Bitlis,2568
Bolu,1798
Burdur,1567
Bursa,20730
Çanakkale,3267
Çankırı,1143
Çorum,3596
Denizli,7045
Diyarbakır,13240
Edirne,2445
Elazığ,4178
Erzincan,1320
Erzurum,5190
Eskişehir,5733
Gaziantep,15191
Giresun,2564
Gümüşhane,708
Hakkari,1833
Hatay,12013
Isparta,2716
Mersin,13347
İstanbul,106053
İzmir,30726
Kars,1880
Kastamonu,1972
Kayseri,9682
Kırklareli,2176
Kırşehir,1736
Kocaeli,13211
Konya,15957
Kütahya,3443
Malatya,5360
Manisa,9902
Kahramanmaraş,8092
Mardin,6490
Muğla,6305
Muş,3204
Nevşehir,2105
Niğde,2683
Ordu,4841
Rize,2021
Sakarya,7100
Samsun,9136
Siirt,2335
Sinop,1260
Sivas,4163
Tekirdağ,6686
Tokat,3925
Trabzon,5120
Tunceli,445
Şanlıurfa,16106
Uşak,2449
Van,8779
Yozgat,3426
Zonguldak,3701
Aksaray,3220
Bayburt,460
Karaman,1764
Kırıkkale,2122
Batman,4149
Şırnak,3599
Bartın,1157
Ardahan,621
Iğdır,1503
Yalova,1716
Karabük,1393
Kilis,1282
Osmaniye,3906
Düzce,2645
