city,value
Adana,5555
Adıyaman,798
Afyonkarahisar,1324
Ağrı,357
Amasya,620
Ankara,14818
Antalya,7849
Artvin,225
Aydın,2929
Balıkesir,3064
Bilecik,431
Bingöl,224
Bitlis,200
Bolu,645
Burdur,538
Bursa,6813
Çanakkale,1312
Çankırı,303
Çorum,1109
Denizli,2809
Diyarbakır,1592
Edirne,918
Elazığ,976
Erzincan,288
Erzurum,698
Eskişehir,2390
Gaziantep,3780
Giresun,794
Gümüşhane,146
Hakkari,114
Hatay,3244
Isparta,791
Mersin,4930
İstanbul,35060
İzmir,13451
Kars,268
Kastamonu,561
Kayseri,3573
Kırklareli,865
Kırşehir,535
Kocaeli,4685
Konya,5108
Kütahya,1067
Malatya,1437
Manisa,3442
Kahramanmaraş,2487
Mardin,656
Muğla,2831
Muş,193
Nevşehir,760
Niğde,786
Ordu,1268
Rize,399
Sakarya,1993
Samsun,2633
Siirt,152
Sinop,427
Sivas,1084
Tekirdağ,2537
Tokat,941
Trabzon,1070
Tunceli,193
Şanlıurfa,1814
Uşak,1092
Van,726
Yozgat,739
Zonguldak,1255
Aksaray,1036
Bayburt,72
Karaman,664
Kırıkkale,647
Batman,362
Şırnak,211
Bartın,359
Ardahan,93
Iğdır,255
Yalova,673
Karabük,523
Kilis,199
Osmaniye,1122
Düzce,891
