city,value
Adana,17855
Adıyaman,7023
Afyonkarahisar,7058
Ağrı,6242
Amasya,3069
Ankara,35081
Antalya,15104
Artvin,1253
Aydın,8347
Balıkesir,8750
Bilecik,1377
Bingöl,2530
Bitlis,3361
Bolu,2150
Burdur,1915
Bursa,19563
Çanakkale,3338
Çankırı,1944
Çorum,5998
Denizli,8320
Diyarbakır,13709
Edirne,2715
Elazığ,5344
Erzincan,1776
Erzurum,7539
Eskişehir,5871
Gaziantep,17035
Giresun,3408
Gümüşhane,1237
Hakkari,1632
Hatay,14093
Isparta,3269
Mersin,14283
İstanbul,100535
İzmir,30960
Kars,3325
Kastamonu,2946
Kayseri,11764
Kırklareli,2207
Kırşehir,2824
Kocaeli,12813
Konya,19550
Kütahya,4799
Malatya,7328
Manisa,11435
Kahramanmaraş,11659
Mardin,6815
Muğla,5939
Muş,5041
Nevşehir,3011
Niğde,3785
Ordu,6724
Rize,2482
Sakarya,7473
Samsun,11698
Siirt,2568
Sinop,1971
Sivas,6642
Tekirdağ,5793
Tokat,5871
Trabzon,6480
Tunceli,599
Şanlıurfa,18718
Uşak,3008
Van,9989
Yozgat,6683
Zonguldak,6094
Aksaray,4796
Bayburt,858
Karaman,2362
Kırıkkale,3329
Batman,4035
Şırnak,3529
Bartın,2082
Ardahan,1140
Iğdır,1636
Yalova,1627
Karabük,1898
Kilis,1444
Osmaniye,4948
Düzce,2909
