city,value
Adana,16669
Adıyaman,5951
Afyonkarahisar,6026
Ağrı,5488
Amasya,2442
Ankara,34445
Antalya,15518
Artvin,1146
Aydın,7526
Balıkesir,8201
Bilecik,1241
Bingöl,2202
Bitlis,2855
Bolu,1734
Burdur,1670
Bursa,19017
Çanakkale,3112
Çankırı,1350
Çorum,4766
Denizli,6937
Diyarbakır,12593
Edirne,2553
Elazığ,4613
Erzincan,1597
Erzurum,6619
Eskişehir,5491
Gaziantep,15540
Giresun,2802
Gümüşhane,921
Hakkari,1711
Hatay,12973
Isparta,2838
Mersin,13540
İstanbul,104055
İzmir,30369
Kars,2754
Kastamonu,2448
Kayseri,10049
Kırklareli,2119
Kırşehir,2008
Kocaeli,11745
Konya,16937
Kütahya,4005
Malatya,5680
Manisa,10302
Kahramanmaraş,9658
Mardin,6132
Muğla,6121
Muş,3672
Nevşehir,2494
Niğde,3005
Ordu,5211
Rize,2088
Sakarya,6429
Samsun,10015
Siirt,2212
Sinop,1546
Sivas,5040
Tekirdağ,5612
Tokat,4775
Trabzon,5449
Tunceli,604
Şanlıurfa,15107
Uşak,2636
Van,9172
Yozgat,4831
Zonguldak,5033
Aksaray,4043
Bayburt,605
Karaman,1899
Kırıkkale,2533
Batman,3825
Şırnak,2962
Bartın,1602
Ardahan,932
Iğdır,1761
Yalova,1524
Karabük,1583
Kilis,1276
Osmaniye,4228
Düzce,2542
