city,value
Adana,4329
Adıyaman,587
Afyonkarahisar,981
Ağrı,200
Amasya,434
Ankara,10950
Antalya,6210
Artvin,140
Aydın,2488
Balıkesir,2421
Bilecik,312
Bingöl,122
Bitlis,77
Bolu,366
Burdur,473
Bursa,5216
Çanakkale,966
Çankırı,212
Çorum,875
Denizli,2311
Diyarbakır,764
Edirne,735
Elazığ,600
Erzincan,223
Erzurum,541
Eskişehir,1684
Gaziantep,2574
Giresun,570
Gümüşhane,81
Hakkari,47
Hatay,2209
Isparta,628
Mersin,3681
İstanbul,28023
İzmir,11481
Kars,143
Kastamonu,366
Kayseri,2611
Kırklareli,647
Kırşehir,442
Kocaeli,2956
Konya,3533
Kütahya,855
Malatya,881
Manisa,2622
Kahramanmaraş,1474
Mardin,318
Muğla,2302
Muş,103
Nevşehir,504
Niğde,544
Ordu,889
Rize,346
Sakarya,1504
Samsun,1867
Siirt,85
Sinop,333
Sivas,808
Tekirdağ,1909
Tokat,637
Trabzon,679
Tunceli,133
Şanlıurfa,1056
Uşak,744
Van,335
Yozgat,649
Zonguldak,1063
Aksaray,802
Bayburt,53
Karaman,416
Kırıkkale,541
Batman,230
Şırnak,106
Bartın,267
Ardahan,52
Iğdır,176
Yalova,434
Karabük,388
Kilis,156
Osmaniye,578
Düzce,782
