city,value
Adana,17597
Adıyaman,5997
Afyonkarahisar,5796
Ağrı,5547
Amasya,2426
Ankara,36191
Antalya,17116
Artvin,1183
Aydın,7666
Balıkesir,8162
Bilecik,1308
Bingöl,2189
Bitlis,2842
Bolu,1906
Burdur,1583
Bursa,20276
Çanakkale,3150
Çankırı,1311
Çorum,4322
Denizli,7199
Diyarbakır,13346
Edirne,2628
Elazığ,4453
Erzincan,1610
Erzurum,6490
Eskişehir,5726
Gaziantep,17059
Giresun,2849
Gümüşhane,983
Hakkari,1841
Hatay,13165
Isparta,2982
Mersin,13934
İstanbul,110478
İzmir,32403
Kars,2742
Kastamonu,2305
Kayseri,10446
Kırklareli,2159
Kırşehir,1961
Kocaeli,12563
Konya,16976
Kütahya,3979
Malatya,5810
Manisa,10321
Kahramanmaraş,9152
Mardin,6705
Muğla,6323
Muş,3725
Nevşehir,2440
Niğde,2981
Ordu,5109
Rize,2151
Sakarya,6975
Samsun,9668
Siirt,2291
Sinop,1427
Sivas,4995
Tekirdağ,6153
Tokat,4489
Trabzon,5291
Tunceli,596
Şanlıurfa,17721
Uşak,2775
Van,9414
Yozgat,4439
Zonguldak,4601
Aksaray,3822
Bayburt,547
Karaman,1914
Kırıkkale,2341
Batman,4020
Şırnak,3343
Bartın,1404
Ardahan,893
Iğdır,1776
Yalova,1584
Karabük,1540
Kilis,1280
Osmaniye,4116
Düzce,2774
