city,value
Adana,2862
Adıyaman,419
Afyonkarahisar,912
Ağrı,126
Amasya,342
Ankara,8202
Antalya,3686
Artvin,127
Aydın,1669
Balıkesir,1829
Bilecik,240
Bingöl,137
Bitlis,52
Bolu,283
Burdur,333
Bursa,3200
Çanakkale,627
Çankırı,179
Çorum,651
Denizli,1749
Diyarbakır,458
Edirne,527
Elazığ,493
Erzincan,215
Erzurum,336
Eskişehir,1358
Gaziantep,1509
Giresun,505
Gümüşhane,88
Hakkari,30
Hatay,1496
Isparta,501
Mersin,2462
İstanbul,20323
İzmir,8563
Kars,126
Kastamonu,294
Kayseri,1664
Kırklareli,490
Kırşehir,444
Kocaeli,1766
Konya,2637
Kütahya,624
Malatya,716
Manisa,1855
Kahramanmaraş,1109
Mardin,186
Muğla,1478
Muş,56
Nevşehir,472
Niğde,394
Ordu,655
Rize,199
Sakarya,1028
Samsun,1385
Siirt,28
Sinop,232
Sivas,610
Tekirdağ,1034
Tokat,539
Trabzon,534
Tunceli,114
Şanlıurfa,877
Uşak,668
Van,167
Yozgat,684
Zonguldak,1106
Aksaray,716
Bayburt,28
Karaman,298
Kırıkkale,416
Batman,86
Şırnak,62
Bartın,262
Ardahan,35
Iğdır,221
Yalova,322
Karabük,280
Kilis,75
Osmaniye,443
Düzce,315
