city,value
Adana,17124
Adıyaman,5299
Afyonkarahisar,5149
Ağrı,4678
Amasya,2095
Ankara,37040
Antalya,17574
Artvin,1005
Aydın,8175
Balıkesir,8357
Bilecik,1378
Bingöl,2075
Bitlis,2688
Bolu,1986
Burdur,1554
Bursa,21120
Çanakkale,3326
Çankırı,1169
Çorum,3649
Denizli,7395
Diyarbakır,13255
Edirne,2498
Elazığ,4274
Erzincan,1325
Erzurum,5467
Eskişehir,5853
Gaziantep,16172
Giresun,2622
Gümüşhane,820
Hakkari,1786
Hatay,12895
Isparta,2691
Mersin,13947
İstanbul,113059
İzmir,32354
Kars,1981
Kastamonu,2121
Kayseri,9862
Kırklareli,2250
Kırşehir,1747
Kocaeli,14142
Konya,16565
Kütahya,3648
Malatya,5324
Manisa,9916
Kahramanmaraş,8427
Mardin,6262
Muğla,6515
Muş,3512
Nevşehir,2188
Niğde,2782
Ordu,4814
Rize,2082
Sakarya,7428
Samsun,9430
Siirt,2431
Sinop,1402
Sivas,4471
Tekirdağ,6881
Tokat,3897
Trabzon,5280
Tunceli,470
Şanlıurfa,16759
Uşak,2629
Van,9430
Yozgat,3601
Zonguldak,4017
Aksaray,3440
Bayburt,465
Karaman,1846
Kırıkkale,2256
Batman,4529
Şırnak,3217
Bartın,1247
Ardahan,671
Iğdır,1563
Yalova,1693
Karabük,1444
Kilis,1332
Osmaniye,3893
Düzce,2779
