city,value
Adana,3445
Adıyaman,435
Afyonkarahisar,1133
Ağrı,114
Amasya,379
Ankara,10260
Antalya,5290
Artvin,155
Aydın,2129
Balıkesir,2194
Bilecik,317
Bingöl,156
Bitlis,66
Bolu,371
Burdur,426
Bursa,4236
Çanakkale,802
Çankırı,207
Çorum,834
Denizli,2214
Diyarbakır,679
Edirne,674
Elazığ,608
Erzincan,237
Erzurum,434
Eskişehir,1595
Gaziantep,2228
Giresun,532
Gümüşhane,99
Hakkari,36
Hatay,2002
Isparta,541
Mersin,3079
İstanbul,24952
İzmir,10986
Kars,165
Kastamonu,431
Kayseri,2092
Kırklareli,584
Kırşehir,444
Kocaeli,2608
Konya,3318
Kütahya,876
Malatya,807
Manisa,2239
Kahramanmaraş,1492
Mardin,289
Muğla,2033
Muş,70
Nevşehir,627
Niğde,484
Ordu,701
Rize,238
Sakarya,1282
Samsun,1794
Siirt,60
Sinop,291
Sivas,654
Tekirdağ,1486
Tokat,643
Trabzon,596
Tunceli,125
Şanlıurfa,784
Uşak,771
Van,267
Yozgat,681
Zonguldak,1023
Aksaray,897
Bayburt,44
Karaman,479
Kırıkkale,627
Batman,115
Şırnak,70
Bartın,297
Ardahan,47
Iğdır,242
Yalova,382
Karabük,327
Kilis,106
Osmaniye,603
Düzce,532
