city,value
Adana,4719
Adıyaman,629
Afyonkarahisar,1531
Ağrı,429
Amasya,634
Ankara,14345
Antalya,7923
Artvin,234
Aydın,3109
Balıkesir,3071
Bilecik,491
Bingöl,228
Bitlis,205
Bolu,592
Burdur,622
Bursa,6834
Çanakkale,1402
Çankırı,325
Çorum,1162
Denizli,2753
Diyarbakır,1606
Edirne,881
Elazığ,931
Erzincan,394
Erzurum,790
Eskişehir,2519
Gaziantep,3691
Giresun,732
Gümüşhane,120
Hakkari,102
Hatay,2389
Isparta,933
Mersin,4754
İstanbul,33297
İzmir,13639
Kars,263
Kastamonu,518
Kayseri,3220
Kırklareli,818
Kırşehir,541
Kocaeli,4767
Konya,4934
Kütahya,1069
Malatya,875
Manisa,3417
Kahramanmaraş,1828
Mardin,712
Muğla,2922
Muş,220
Nevşehir,717
Niğde,813
Ordu,1458
Rize,379
Sakarya,2228
Samsun,2718
Siirt,199
Sinop,462
Sivas,887
Tekirdağ,2905
Tokat,1028
Trabzon,1081
Tunceli,182
Şanlıurfa,1762
Uşak,975
Van,831
Yozgat,757
Zonguldak,1207
Aksaray,965
Bayburt,77
Karaman,735
Kırıkkale,693
Batman,461
Şırnak,247
Bartın,442
Ardahan,106
Iğdır,304
Yalova,567
Karabük,518
Kilis,241
Osmaniye,902
Düzce,914
