city,value
Adana,3803
Adıyaman,480
Afyonkarahisar,951
Ağrı,172
Amasya,377
Ankara,10748
Antalya,5899
Artvin,130
Aydın,2468
Balıkesir,2309
Bilecik,310
Bingöl,118
Bitlis,71
Bolu,382
Burdur,369
Bursa,5242
Çanakkale,947
Çankırı,230
Çorum,716
Denizli,2193
Diyarbakır,838
Edirne,649
Elazığ,539
Erzincan,270
Erzurum,402
Eskişehir,1847
Gaziantep,2458
Giresun,577
Gümüşhane,84
Hakkari,53
Hatay,2261
Isparta,589
Mersin,3715
İstanbul,28175
İzmir,10939
Kars,139
Kastamonu,395
Kayseri,2603
Kırklareli,654
Kırşehir,307
Kocaeli,3127
Konya,3525
Kütahya,845
Malatya,865
Manisa,2202
Kahramanmaraş,1511
Mardin,343
Muğla,2338
Muş,102
Nevşehir,535
Niğde,476
Ordu,839
Rize,315
Sakarya,1538
Samsun,1795
Siirt,108
Sinop,301
Sivas,627
Tekirdağ,1859
Tokat,729
Trabzon,697
Tunceli,128
Şanlıurfa,932
Uşak,746
Van,367
Yozgat,480
Zonguldak,934
Aksaray,780
Bayburt,52
Karaman,442
Kırıkkale,508
Batman,196
Şırnak,110
Bartın,261
Ardahan,46
Iğdır,197
Yalova,408
Karabük,317
Kilis,181
Osmaniye,574
Düzce,666
