city,value
Adana,19645
Adıyaman,6933
Afyonkarahisar,6946
Ağrı,6569
Amasya,3061
Ankara,34421
Antalya,14261
Artvin,1351
Aydın,8004
Balıkesir,8788
Bilecik,1406
Bingöl,2689
Bitlis,3721
Bolu,2157
Burdur,1983
Bursa,18943
Çanakkale,3197
Çankırı,1995
Çorum,6166
Denizli,8433
Diyarbakır,13636
Edirne,2787
Elazığ,5568
Erzincan,1868
Erzurum,8238
Eskişehir,5635
Gaziantep,17000
Giresun,3528
Gümüşhane,1240
Hakkari,1642
Hatay,13851
Isparta,3393
Mersin,14606
İstanbul,96629
İzmir,30534
Kars,3665
Kastamonu,3068
Kayseri,11848
Kırklareli,2206
Kırşehir,3113
Kocaeli,12084
Konya,19040
Kütahya,4764
Malatya,7394
Manisa,11482
Kahramanmaraş,11261
Mardin,6903
Muğla,5982
Muş,5111
Nevşehir,3205
Niğde,4016
Ordu,7126
Rize,2673
Sakarya,7226
Samsun,11813
Siirt,2877
Sinop,1977
Sivas,6871
Tekirdağ,5404
Tokat,5984
Trabzon,6304
Tunceli,603
Şanlıurfa,17589
Uşak,3182
Van,9610
Yozgat,7123
Zonguldak,6494
Aksaray,4948
Bayburt,838
Karaman,2279
Kırıkkale,3454
Batman,4411
Şırnak,3387
Bartın,1874
Ardahan,1249
Iğdır,1923
Yalova,1543
Karabük,1977
Kilis,1561
Osmaniye,4774
Düzce,3081
