city,value
Adana,3878
Adıyaman,467
Afyonkarahisar,927
Ağrı,160
Amasya,393
Ankara,11083
Antalya,5347
Artvin,131
Aydın,2064
Balıkesir,2305
Bilecik,325
Bingöl,132
Bitlis,85
Bolu,435
Burdur,402
Bursa,4993
Çanakkale,814
Çankırı,205
Çorum,649
Denizli,2245
Diyarbakır,774
Edirne,562
Elazığ,664
Erzincan,272
Erzurum,463
Eskişehir,1580
Gaziantep,2336
Giresun,493
Gümüşhane,91
Hakkari,35
Hatay,2035
Isparta,647
Mersin,3187
İstanbul,26825
İzmir,10868
Kars,116
Kastamonu,449
Kayseri,2307
Kırklareli,562
Kırşehir,486
Kocaeli,2532
Konya,3707
Kütahya,932
Malatya,831
Manisa,2359
Kahramanmaraş,1426
Mardin,336
Muğla,2163
Muş,91
Nevşehir,572
Niğde,485
Ordu,860
Rize,254
Sakarya,1315
Samsun,1873
Siirt,85
Sinop,263
Sivas,626
Tekirdağ,1461
Tokat,628
Trabzon,640
Tunceli,128
Şanlıurfa,638
Uşak,809
Van,210
Yozgat,685
Zonguldak,995
Aksaray,765
Bayburt,45
Karaman,420
Kırıkkale,514
Batman,160
Şırnak,83
Bartın,264
Ardahan,71
Iğdır,191
Yalova,385
Karabük,361
Kilis,147
Osmaniye,703
Düzce,520
