city,value
Adana,4432
Adıyaman,542
Afyonkarahisar,1091
Ağrı,252
Amasya,476
Ankara,11818
Antalya,6508
Artvin,201
Aydın,2538
Balıkesir,2666
Bilecik,378
Bingöl,159
Bitlis,119
Bolu,508
Burdur,424
Bursa,5755
Çanakkale,940
Çankırı,297
Çorum,739
Denizli,2259
Diyarbakır,1005
Edirne,761
Elazığ,636
Erzincan,354
Erzurum,515
Eskişehir,1865
Gaziantep,3011
Giresun,580
Gümüşhane,88
Hakkari,46
Hatay,2524
Isparta,740
Mersin,4191
İstanbul,30619
İzmir,12053
Kars,227
Kastamonu,490
Kayseri,2804
Kırklareli,771
Kırşehir,370
Kocaeli,3464
Konya,3746
Kütahya,999
Malatya,1009
Manisa,2695
Kahramanmaraş,1808
Mardin,388
Muğla,2653
Muş,144
Nevşehir,549
Niğde,582
Ordu,968
Rize,345
Sakarya,1532
Samsun,2146
Siirt,103
Sinop,335
Sivas,775
Tekirdağ,2284
Tokat,766
Trabzon,766
Tunceli,154
Şanlıurfa,1184
Uşak,786
Van,405
Yozgat,621
Zonguldak,1177
Aksaray,783
Bayburt,46
Karaman,424
Kırıkkale,579
Batman,239
Şırnak,147
Bartın,319
Ardahan,65
Iğdır,246
Yalova,512
Karabük,400
Kilis,165
Osmaniye,849
Düzce,663
