city,value
Adana,15861
Adıyaman,4688
Afyonkarahisar,5064
Ağrı,3762
Amasya,2095
Ankara,37052
Antalya,18090
Artvin,1044
Aydın,7797
Balıkesir,8234
Bilecik,1392
Bingöl,1759
Bitlis,2292
Bolu,1953
Burdur,1628
Bursa,21032
Çanakkale,3559
Çankırı,1072
Çorum,3459
Denizli,7514
Diyarbakır,12492
Edirne,2553
Elazığ,3980
Erzincan,1318
Erzurum,4597
Eskişehir,5875
Gaziantep,16900
Giresun,2604
Gümüşhane,724
Hakkari,1945
Hatay,12214
Isparta,2789
Mersin,13228
İstanbul,106149
İzmir,30393
Kars,1589
Kastamonu,2000
Kayseri,10022
Kırklareli,2298
Kırşehir,1637
Kocaeli,13967
Konya,16248
Kütahya,3399
Malatya,5421
Manisa,10261
Kahramanmaraş,8655
Mardin,6429
Muğla,6844
Muş,2689
Nevşehir,2234
Niğde,2532
Ordu,4740
Rize,1933
Sakarya,7576
Samsun,9153
Siirt,2105
Sinop,1208
Sivas,3966
Tekirdağ,7434
Tokat,3704
Trabzon,5027
Tunceli,394
Şanlıurfa,17609
Uşak,2635
Van,7921
Yozgat,2953
Zonguldak,3626
Aksaray,3403
Bayburt,454
Karaman,1803
Kırıkkale,1940
Batman,4486
Şırnak,3870
Bartın,1221
Ardahan,507
Iğdır,1311
Yalova,1891
Karabük,1435
Kilis,1198
Osmaniye,4227
Düzce,2828
