city,value
Adana,19617
Adıyaman,6417
Afyonkarahisar,6877
Ağrı,6370
Amasya,2765
Ankara,36013
Antalya,16401
Artvin,1305
Aydın,8167
Balıkesir,8495
Bilecik,1416
Bingöl,2398
Bitlis,3080
Bolu,2061
Burdur,1961
Bursa,20325
Çanakkale,3295
Çankırı,1616
Çorum,5496
Denizli,7917
Diyarbakır,14936
Edirne,2780
Elazığ,5473
Erzincan,1813
Erzurum,7205
Eskişehir,5909
Gaziantep,16948
Giresun,3233
Gümüşhane,1194
Hakkari,1666
Hatay,14210
Isparta,3326
Mersin,15160
İstanbul,107963
İzmir,31985
Kars,3443
Kastamonu,2846
Kayseri,11329
Kırklareli,2280
Kırşehir,2562
Kocaeli,13046
Konya,18417
Kütahya,4625
Malatya,6743
Manisa,10981
Kahramanmaraş,11344
Mardin,6652
Muğla,6609
Muş,4587
Nevşehir,2976
Niğde,3608
Ordu,6128
Rize,2413
Sakarya,7227
Samsun,11109
Siirt,2512
Sinop,1915
Sivas,6268
Tekirdağ,6094
Tokat,5582
Trabzon,6609
Tunceli,673
Şanlıurfa,17117
Uşak,3009
Van,9890
Yozgat,6130
Zonguldak,5960
Aksaray,4915
Bayburt,781
Karaman,2269
Kırıkkale,2843
Batman,4336
Şırnak,3054
Bartın,1813
Ardahan,1092
Iğdır,1872
Yalova,1685
Karabük,1784
Kilis,1312
Osmaniye,4949
Düzce,2791
