city,value
Adana,17570
Adıyaman,5961
Afyonkarahisar,5597
Ağrı,5200
Amasya,2208
Ankara,37130
Antalya,17329
Artvin,1098
Aydın,7907
Balıkesir,7950
Bilecik,1308
Bingöl,2228
Bitlis,2935
Bolu,1894
Burdur,1622
Bursa,20738
Çanakkale,2964
Çankırı,1294
Çorum,3995
Denizli,7470
Diyarbakır,13229
Edirne,2503
Elazığ,4724
Erzincan,1500
Erzurum,6108
Eskişehir,5922
Gaziantep,16888
Giresun,2632
Gümüşhane,829
Hakkari,1989
Hatay,12819
Isparta,2871
Mersin,13482
İstanbul,112141
İzmir,32054
Kars,2396
Kastamonu,2208
Kayseri,10162
Kırklareli,2164
Kırşehir,1876
Kocaeli,13156
Konya,16577
Kütahya,3810
Malatya,5669
Manisa,10049
Kahramanmaraş,8556
Mardin,6572
Muğla,6155
Muş,3689
Nevşehir,2392
Niğde,2864
Ordu,5035
Rize,2073
Sakarya,7193
Samsun,9685
Siirt,2598
Sinop,1406
Sivas,4782
Tekirdağ,6463
Tokat,4230
Trabzon,5386
Tunceli,566
Şanlıurfa,15584
Uşak,2689
Van,10318
Yozgat,4053
Zonguldak,4263
Aksaray,3540
Bayburt,528
Karaman,1927
Kırıkkale,2303
Batman,4047
Şırnak,3472
Bartın,1405
Ardahan,761
Iğdır,1748
Yalova,1737
Karabük,1458
Kilis,1350
Osmaniye,4009
Düzce,2711
