city,value
Adana,15139
Adıyaman,4923
Afyonkarahisar,5039
Ağrı,3911
Amasya,1990
Ankara,33923
Antalya,16685
Artvin,968
Aydın,7265
Balıkesir,7955
Bilecik,1259
Bingöl,1877
Bitlis,2272
Bolu,1766
Burdur,1543
Bursa,19759
Çanakkale,3192
Çankırı,1162
Çorum,3508
Denizli,6820
Diyarbakır,11555
Edirne,2333
Elazığ,3986
Erzincan,1375
Erzurum,4760
Eskişehir,5470
Gaziantep,15069
Giresun,2473
Gümüşhane,729
Hakkari,1754
Hatay,11618
Isparta,2642
Mersin,12609
İstanbul,100088
İzmir,28654
Kars,1700
Kastamonu,2001
Kayseri,9556
Kırklareli,2121
Kırşehir,1517
Kocaeli,12504
Konya,15565
Kütahya,3479
Malatya,5117
Manisa,9562
Kahramanmaraş,8081
Mardin,6111
Muğla,6278
Muş,2890
Nevşehir,2153
Niğde,2523
Ordu,4546
Rize,1889
Sakarya,6651
Samsun,8453
Siirt,2086
Sinop,1215
Sivas,4036
Tekirdağ,6362
Tokat,3629
Trabzon,4847
Tunceli,428
Şanlıurfa,14912
Uşak,2427
Van,8029
Yozgat,3201
Zonguldak,3625
Aksaray,3280
Bayburt,435
Karaman,1757
Kırıkkale,2095
Batman,4183
Şırnak,3278
Bartın,1146
Ardahan,562
Iğdır,1373
Yalova,1654
Karabük,1426
Kilis,1110
Osmaniye,3999
Düzce,2451
