city,value
Adana,2538
Adıyaman,438
Afyonkarahisar,1076
Ağrı,101
Amasya,377
Ankara,8232
Antalya,3206
Artvin,123
Aydın,1609
Balıkesir,1903
Bilecik,179
Bingöl,141
Bitlis,34
Bolu,276
Burdur,350
Bursa,3047
Çanakkale,568
Çankırı,182
Çorum,727
Denizli,1965
Diyarbakır,511
Edirne,554
Elazığ,595
Erzincan,210
Erzurum,313
Eskişehir,1195
Gaziantep,1704
Giresun,400
Gümüşhane,89
Hakkari,19
Hatay,1575
Isparta,593
Mersin,2575
İstanbul,21124
İzmir,8647
Kars,197
Kastamonu,331
Kayseri,1631
Kırklareli,444
Kırşehir,498
Kocaeli,1881
Konya,2754
Kütahya,695
Malatya,610
Manisa,1694
Kahramanmaraş,1167
Mardin,205
Muğla,1497
Muş,75
Nevşehir,505
Niğde,388
Ordu,709
Rize,192
Sakarya,1028
Samsun,1433
Siirt,50
Sinop,295
Sivas,726
Tekirdağ,1039
Tokat,544
Trabzon,566
Tunceli,84
Şanlıurfa,774
Uşak,746
Van,115
Yozgat,761
Zonguldak,1101
Aksaray,806
Bayburt,30
Karaman,340
Kırıkkale,515
Batman,110
Şırnak,44
Bartın,312
Ardahan,52
Iğdır,222
Yalova,402
Karabük,290
Kilis,93
Osmaniye,399
Düzce,369
